deployment_pct,coincident_generation_share,density
40,0.805,0.04009753454348416
40,0.8150000000000001,0.043890544567867784
40,0.8250000000000001,0.045516120292603636
40,0.835,0.04714169601734001
40,0.845,0.04741262530479546
40,0.855,0.057707938228122466
40,0.865,0.06231373611487402
40,0.875,0.07369276618802492
40,0.885,0.08100785694933624
40,0.895,0.11270658358168519
40,0.905,0.1292332701164996
40,0.915,0.1706854510972636
40,0.925,0.4676239501490112
40,0.935,0.4860471416960174
40,0.9450000000000001,0.11108100785694935
40,0.9550000000000001,0.10566242210783104
40,0.965,0.10918450284475752
40,0.975,0.15578434028718505
40,0.985,0.21511785424004334
40,0.995,1.0
50,0.005,0.010290334435869174
50,0.015,0.00036751194413818484
50,0.025,0.0007350238882763697
50,0.035,0.0014700477765527391
50,0.045,0.0014700477765527391
50,0.055,0.002572583608967295
50,0.065,0.00330760749724366
50,0.07500000000000001,0.00220507166482911
50,0.08499999999999999,0.00441014332965822
50,0.095,0.002205071664829107
50,0.10500000000000001,0.002572583608967295
50,0.11499999999999999,0.00294009555310548
50,0.125,0.002940095553105476
50,0.135,0.003675119441381845
50,0.14500000000000002,0.004042631385520041
50,0.155,0.006247703050349136
50,0.165,0.00808526277104006
50,0.175,0.006247703050349153
50,0.185,0.006247703050349136
50,0.195,0.00808526277104006
50,0.20500000000000002,0.009187798603454637
50,0.215,0.005512679162072767
50,0.225,0.009922822491730982
50,0.235,0.005145167217934597
50,0.245,0.009187798603454611
50,0.255,0.00735023888276369
50,0.265,0.009555310547592797
50,0.275,0.010657846380007349
50,0.28500000000000003,0.011025358324145597
50,0.295,0.01212789415656009
50,0.305,0.007717750826901874
50,0.315,0.008452774715178244
50,0.325,0.010290334435869165
50,0.335,0.009922822491730982
50,0.34500000000000003,0.011025358324145534
50,0.355,0.008452774715178291
50,0.365,0.012862918044836457
50,0.375,0.012862918044836457
50,0.385,0.017273061374494667
50,0.395,0.012495406100698271
50,0.405,0.012862918044836457
50,0.41500000000000004,0.012127894156560154
50,0.425,0.01470047776552738
50,0.435,0.014332965821389194
50,0.445,0.010657846380007349
50,0.455,0.01323042998897464
50,0.465,0.018743109151047408
50,0.475,0.0191106210951857
50,0.485,0.017640573318632856
50,0.495,0.02021315692760015
50,0.505,0.018008085262771038
50,0.515,0.022050716648291068
50,0.525,0.02535832414553473
50,0.535,0.02646085997794928
50,0.545,0.019845644983461964
50,0.555,0.0260933480338111
50,0.5650000000000001,0.02425578831312018
50,0.575,0.02094818081587675
50,0.585,0.0260933480338111
50,0.595,0.02352076442484381
50,0.605,0.02940095553105476
50,0.615,0.028298419698640203
50,0.625,0.02682837192208747
50,0.635,0.03234105108416024
50,0.645,0.03234105108416024
50,0.655,0.03197353914002205
50,0.665,0.02793090775450202
50,0.675,0.03638368246968026
50,0.685,0.042631385520029395
50,0.6950000000000001,0.05145167217934583
50,0.7050000000000001,0.04630650496141176
50,0.715,0.049981624402793086
50,0.725,0.05769937522969496
50,0.735,0.048879088570378544
50,0.745,0.05034913634693127
50,0.755,0.05953693495038588
50,0.765,0.05292171995589856
50,0.775,0.06615214994487321
50,0.785,0.0665196618890114
50,0.795,0.07607497243660419
50,0.805,0.07791253215729511
50,0.8150000000000001,0.08269018743109152
50,0.8250000000000001,0.09224549797868431
50,0.835,0.10400588019110736
50,0.845,0.11172363101800808
50,0.855,0.12091142962146269
50,0.865,0.1492098493201029
50,0.875,0.14957736126424107
50,0.885,0.17199558985667032
50,0.895,0.17934582873943403
50,0.905,0.199191473722896
50,0.915,0.2414553472987872
50,0.925,0.5284821756707093
50,0.935,0.5009187798603455
50,0.9450000000000001,0.16427783902976847
50,0.9550000000000001,0.16942300624770493
50,0.965,0.19955898566703417
50,0.975,0.2546857772877618
50,0.985,0.2734288864388092
50,0.995,1.0
100,0.005,0.039671682626539015
100,0.015,0.0068399452804377625
100,0.025,0.01641586867305063
100,0.035,0.016415868673050626
100,0.045,0.02325581395348839
100,0.055,0.01641586867305064
100,0.065,0.019151846785225714
100,0.07500000000000001,0.024623803009575954
100,0.08499999999999999,0.05335157318741456
100,0.095,0.032831737346101224
100,0.10500000000000001,0.05471956224350212
100,0.11499999999999999,0.04514363885088925
100,0.125,0.054719562243502044
100,0.135,0.05061559507523939
100,0.14500000000000002,0.056087551299589755
100,0.155,0.07934336525307796
100,0.165,0.05061559507523939
100,0.175,0.058823529411764865
100,0.185,0.06839945280437756
100,0.195,0.06292749658002736
100,0.20500000000000002,0.07387140902872796
100,0.215,0.08344733242134063
100,0.225,0.08071135430916551
100,0.235,0.08344733242134085
100,0.245,0.07113543091655265
100,0.255,0.08344733242134063
100,0.265,0.08071135430916551
100,0.275,0.11627906976744184
100,0.28500000000000003,0.09712722298221667
100,0.295,0.10533515731874142
100,0.305,0.13406292749658
100,0.315,0.12585499316005472
100,0.325,0.14911080711354308
100,0.335,0.11080711354309164
100,0.34500000000000003,0.11080711354309164
100,0.355,0.139534883720931
100,0.365,0.17236662106703143
100,0.375,0.15047879616963064
100,0.385,0.14090287277701777
100,0.395,0.15458276333789328
100,0.405,0.15184678522571818
100,0.41500000000000004,0.19972640218878354
100,0.425,0.21477428180574554
100,0.435,0.23939808481532146
100,0.445,0.24897400820793433
100,0.455,0.2571819425444596
100,0.465,0.2325581395348837
100,0.475,0.2257181942544472
100,0.485,0.23666210670314636
100,0.495,0.30369357045143636
100,0.505,0.29958960328317374
100,0.515,0.2968536251709986
100,0.525,0.29822161422708615
100,0.535,0.3679890560875512
100,0.545,0.35567715458276333
100,0.555,0.39671682626538984
100,0.5650000000000001,0.39534883720930225
100,0.575,0.42954856361149585
100,0.585,0.39534883720930225
100,0.595,0.45417236662106697
100,0.605,0.414500683994528
100,0.615,0.44322845417236656
100,0.625,0.493844049247606
100,0.635,0.4281805745554035
100,0.645,0.4213406292749657
100,0.655,0.441860465116279
100,0.665,0.4842681258549931
100,0.675,0.414500683994528
100,0.685,0.43228454172366615
100,0.6950000000000001,0.41860465116279066
100,0.7050000000000001,0.432284541723671
100,0.715,0.47606019151846785
100,0.725,0.4719562243502052
100,0.735,0.4623803009575923
100,0.745,0.44049247606019143
100,0.755,0.4363885088919288
100,0.765,0.4062927496580027
100,0.775,0.44322845417236656
100,0.785,0.43912448700410395
100,0.795,0.4733242134062927
100,0.805,0.4596443228454172
100,0.8150000000000001,0.38850889192886456
100,0.8250000000000001,0.3844049247606019
100,0.835,0.4350205198358461
100,0.845,0.41313269493844046
100,0.855,0.38714090287277697
100,0.865,0.4514363885088919
100,0.875,0.38987688098495205
100,0.885,0.41860465116279066
100,0.895,0.3994528043775649
100,0.905,0.4336525307797537
100,0.915,0.46101231190150477
100,0.925,0.829001367989056
100,0.935,0.6402188782489738
100,0.9450000000000001,0.33926128590971266
100,0.9550000000000001,0.33378932968536623
100,0.965,0.34610123119015046
100,0.975,0.3638850889192886
100,0.985,0.3926128590971272
100,0.995,1.0
